AFFX-MurIL2_at,AFFX-MurIL10_at,AFFX-MurIL4_at,AFFX-MurFAS_at,AFFX-hum_alu_at,AFFX-DapX-5_at,AFFX-DapX-M_at,AFFX-DapX-3_at,AFFX-LysX-5_at,AFFX-LysX-M_at,AFFX-LysX-3_at,AFFX-PheX-5_at,AFFX-PheX-M_at,AFFX-PheX-3_at,AFFX-ThrX-5_at,AFFX-ThrX-M_at,AFFX-ThrX-3_at,AFFX-TrpnX-5_at,AFFX-TrpnX-M_at,AFFX-TrpnX-3_at,AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,AFFX-HUMISGF3A/M97935_3_at,AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_3_at,AFFX-HUMGAPDH/M33197_5_at,AFFX-HUMGAPDH/M33197_M_at,AFFX-HUMGAPDH/M33197_3_at,AFFX-HSAC07/X00351_5_at,AFFX-HSAC07/X00351_M_at,AFFX-HSAC07/X00351_3_at,AFFX-HUMTFRR/M11507_5_at,AFFX-HUMTFRR/M11507_M_at,AFFX-HUMTFRR/M11507_3_at,AFFX-M27830_5_at,AFFX-M27830_M_at,AFFX-M27830_3_at,AFFX-HSAC07/X00351_3_st,AFFX-HUMGAPDH/M33197_5_st,AFFX-HUMGAPDH/M33197_M_st,AFFX-HUMGAPDH/M33197_3_st,AFFX-HSAC07/X00351_5_st,AFFX-HSAC07/X00351_M_st,AFFX-YEL002c/WBP1_at,AFFX-YEL018w/_at,AFFX-YEL024w/RIP1_at,AFFX-YEL021w/URA3_at,31307_at,31308_at,31309_r_at,31310_at,31311_at,31312_at,31313_at,31314_at,31315_at,31316_at,31317_r_at,31318_at,31319_at,31320_at,31321_at,31322_at,31323_r_at,31324_at,31325_at,31326_at,31327_at,31328_at,31329_at,31330_at,31331_at,31332_at,31333_at,31334_at,31335_at,31336_at,31337_at,31338_at,31339_at,31340_at,31341_at,31342_at,31343_at,31344_at,31345_at,31346_at,31347_at,31348_at,31349_at,31350_at,31351_at,31352_at,31353_f_at,31354_r_at,31355_at,31356_at,31357_at,Class
-479,187,41,191,3998,138,305,-69,60,-405,88,-191,-57,168,-4,133,-498,184,-316,-6,63,257,803,2607,-126,-458,-199,6158,15209,19865,12052,23155,19055,211,-74,492,241,1310,547,3659,-482,896,687,-350,137,-41,18,284,731,-195,-149,26,-120,329,136,-96,179,-17,-17,2630,6,-402,-321,563,46,-588,261,-575,-610,-81,209,-43,24612,-53,31,73,63,-9,-73,-585,44,-385,-107,-193,496,-35,148,-60,-339,-398,-150,-471,697,-453,254,1709,-1126,-142,1408,-166,0
-182,44,75,311,16362,18,283,-83,-4,-14,79,-95,9,188,-10,-28,-319,-40,-249,-14,0,176,1548,4253,170,-236,-530,975,5604,25991,1931,14179,24739,195,87,149,130,1549,384,5537,23,160,698,-176,-134,82,-6,241,348,-84,-124,-44,-101,194,82,-218,-53,94,-21,2086,-23,13,75,477,78,-575,147,-341,-382,-82,28,26,28972,-47,8,26,-13,-97,-60,-864,44,-244,-24,-647,238,-96,142,82,59,-1157,-268,-411,13,-318,53,642,-322,-103,414,-141,0
-46,104,45,313,14914,190,467,-94,12,-440,9,-182,-139,81,-139,39,-529,152,-80,-112,853,3670,4810,9919,116,-702,-869,28825,19908,28931,25048,28949,27227,430,134,632,503,1216,-67,4617,32,273,197,-549,259,53,-90,283,972,-103,-101,-37,-113,798,-368,-236,67,5787,-28,3375,-19,310,-307,634,210,44,402,-276,-685,-134,47,-14,34001,-88,-38,60,-67,-160,-30,-1606,41,-346,18,29,515,-58,-207,26,-34,-845,-502,-378,1043,-617,117,497,-914,-55,723,-460,0
-224,24,17,189,12325,98,402,-91,8,-178,279,-205,-105,346,-58,-51,-654,67,-150,-37,-20,349,339,2216,-117,-335,-528,8006,15464,20125,13700,20503,17118,198,17,115,105,1857,1399,4763,-250,437,683,-195,842,-31,-181,492,648,-110,-47,-79,-83,217,165,-529,502,866,6,2539,20,-120,428,403,128,-638,514,-534,349,10,349,-68,25164,121,58,4,59,-476,-1,-1074,10,-253,-58,607,264,-29,256,90,-1209,-1538,-436,-1036,47,-635,228,761,-815,149,754,-189,0
66,0,39,181,17368,132,145,-6,55,85,233,-30,40,471,164,-18,-407,188,-176,38,-73,554,768,2585,-152,-1036,-956,29251,20455,25889,20956,23410,24336,66,-207,206,-166,436,-147,2668,-237,316,436,-285,373,-16,-57,253,643,75,-359,26,-545,171,-710,-812,-640,5,-183,3883,-108,26,-252,108,-126,-261,202,-174,84,-156,-67,-66,30078,-184,-371,-544,-32,-296,-110,65,-1,-283,-40,-1112,-30,-139,-496,-223,-498,88,-375,-387,-683,-561,-138,611,-779,-302,180,-201,0
-305,-146,50,13,17219,-37,235,-59,24,27,188,-126,-22,119,66,-41,-207,14,-157,-85,-57,146,1487,6045,-119,-506,-204,830,6210,25526,971,16404,23358,94,-87,-18,-191,854,635,10605,-280,573,1457,-92,121,40,-117,167,500,-97,-151,-10,-61,55,-89,-609,74,-388,-80,2019,-42,-59,-435,143,75,-153,-7,-143,68,-26,232,-11,25990,-47,-124,-39,3,-71,13,-296,5,-401,29,-142,45,-49,79,-11,-96,-140,-351,-240,-270,-641,-28,534,-426,17,431,-137,0
-350,-169,29,91,12939,-61,260,-241,14,1,147,-108,-76,139,-33,75,-540,-1,-474,-128,139,642,932,2490,-126,-738,-603,28439,18493,19685,19280,18301,18573,493,330,1389,330,1273,568,3047,396,529,466,-326,160,-54,-272,301,795,-240,-152,10,-265,307,-67,-771,171,-104,-113,3704,-9,64,13,566,-15,58,54,-379,-930,-85,28,-123,19677,-70,-119,57,25,-524,26,-696,78,-140,-27,-584,280,-3,224,59,-392,156,-578,-408,-173,-952,113,1058,-1566,-126,835,-264,0
-211,42,25,48,17572,22,260,2,-28,-165,72,-154,-42,-6,-14,0,-309,77,-127,-20,15,83,560,3329,91,-261,-111,927,6993,22445,1575,17339,21511,122,-16,85,125,2173,706,3496,-28,336,860,-61,172,64,-150,274,339,-129,-46,-2,-41,18,-42,-229,63,-103,0,1789,-54,-77,-254,409,61,-169,111,50,-393,-32,214,-68,26982,106,51,-27,-49,-3,9,-261,-73,-27,84,-498,278,-95,180,56,-293,-141,-560,-222,272,-238,150,826,-847,-118,272,-48,0
-409,52,50,144,12989,77,279,-28,-34,-324,201,-98,-26,259,-37,-14,-360,37,-341,-13,25,1589,4850,11273,-29,-568,-169,4903,14546,23433,9185,24289,24370,198,81,773,107,1331,1219,4618,-116,602,772,-116,226,38,-217,171,936,-155,24,-51,-221,310,97,-243,214,-96,-59,2483,-71,-64,-375,635,65,-325,198,-243,-369,-81,93,5,28684,187,11,38,-75,-221,26,-374,51,-216,38,192,419,-30,175,-19,-204,19,-286,-364,-111,-221,219,1112,-737,-15,604,-89,0
-170,-98,-48,445,11605,77,430,-111,106,-40,315,-76,-128,226,-83,-28,-493,4,-329,3,940,3278,3507,9043,-94,-591,-270,29830,17989,25783,24318,27545,27127,444,-43,650,209,1649,1511,3326,468,541,449,102,401,71,-244,210,780,-193,25,-15,233,319,0,1,259,1397,7,3763,41,396,-640,700,-93,108,657,-550,-1156,-134,178,66,27401,-83,49,146,-61,-102,27,-401,35,-157,-4,-436,1132,-31,91,10,-999,-1674,-177,-365,818,-278,178,1317,-976,-13,790,-235,0
-76,54,4,68,6006,9,179,-61,80,-239,143,-10,-117,56,12,-33,-266,123,-240,5,21,18,346,1382,344,339,230,30301,21339,23475,24325,27107,24772,264,23,139,2683,4864,-12,4255,9,453,596,-49,525,29,-106,143,413,-66,-57,2,-106,237,-100,-10,290,-36,-72,1678,-41,-17,-344,267,86,220,382,-136,-167,9,25,26,27202,-66,40,89,-17,-51,80,-521,48,-186,72,-191,564,-77,50,-2,-108,-1488,-200,-167,253,-492,33,589,-1018,-446,442,-131,1
47,74,47,88,4552,114,87,-99,5,-47,-20,-43,-50,-31,18,15,-154,7,-166,-60,108,317,449,1598,-82,-55,-288,21944,21328,27227,19029,29878,27240,359,36,311,839,7615,838,1506,60,180,221,-103,51,-21,2,46,240,-79,-28,-65,-125,54,87,-43,202,-27,4,1604,4,-213,-674,275,59,504,132,-37,11,-42,446,41,32127,-54,-38,34,13,107,47,-277,4,-124,50,74,527,-37,238,21,-14,-1143,-130,-18,-391,-92,95,833,-833,130,575,-135,1
-192,42,31,139,6182,71,288,-111,46,-193,257,-158,-72,-17,-97,-69,-395,-37,-373,0,90,517,783,3032,-108,-548,-356,28301,19062,23876,23348,23563,23248,471,56,417,286,1810,633,2330,101,270,598,7,588,-75,-167,74,693,-185,-62,-41,-45,116,259,3,200,247,3,2813,-20,-109,63,401,98,328,680,-385,-463,-7,222,23,25601,-68,45,41,-6,-174,21,209,-10,15,19,-372,1457,0,270,8,-596,-2921,-258,-194,-608,-520,94,1196,-1018,-55,962,-159,1
78,72,-26,147,14052,93,197,5,75,65,69,-89,2,141,-58,-84,-369,142,-248,56,25,602,1043,3797,-53,-594,-670,25482,21336,29908,25484,32822,27725,327,-44,239,63,1683,966,1883,-185,-86,10,-254,24,-3,-13,153,626,-359,-86,-75,-121,325,-317,-408,-338,-151,-89,3030,-44,136,-125,648,17,-384,273,-349,-1398,-49,143,70,31733,-78,-54,-131,36,-171,-22,-602,60,-122,83,-898,421,-37,247,67,-87,-1634,-396,-319,127,-714,116,1248,-1099,-35,847,-301,1
-298,213,-5,68,13216,56,270,-114,-30,-291,60,-72,-37,193,-135,-7,-466,-64,-193,-89,-3,-126,256,727,-120,-390,-232,482,1750,25724,1171,17189,21643,149,12,7,23,3180,1160,1795,-100,194,441,-251,-149,-21,-75,820,493,-139,8,-72,-128,140,-47,-408,-25,-266,-41,1485,-21,-269,569,304,14,-491,-144,-144,-381,-7,176,24,27287,-110,-1,25,-56,-155,-17,-1108,-38,-124,-13,-105,143,-34,105,62,492,-896,-302,-391,-123,-476,32,9,-491,-145,668,-95,1
-82,89,-18,67,13159,53,202,-39,34,-32,93,-99,-108,115,-52,64,-419,88,-181,22,-67,-22,285,1013,17455,11589,3151,28086,23341,30118,19704,30935,30502,259,55,107,13068,16387,1032,3827,-61,214,282,-101,-107,0,45,125,484,-164,16,-34,-29,214,-205,-522,-112,92,-45,1826,-10,123,-213,306,38,360,149,-205,-439,-91,92,-31,37690,-22,-72,-43,11,-162,-25,-334,-13,-258,-49,-391,617,-53,33,44,-59,-1440,-331,-183,427,-565,22,936,-754,-169,391,96,1
18,258,31,135,14220,128,426,-216,-10,-199,37,-84,-123,74,74,-88,-652,133,-324,0,36,373,983,2919,13,-467,-354,29899,24247,32684,29423,35672,31850,382,32,300,484,2573,18,2263,-20,5,191,-417,520,101,-20,141,768,-84,-42,26,-138,428,-300,-140,-209,-137,-93,3200,-4,-193,-457,129,-31,523,372,-392,-1003,-10,167,55,39531,-34,-17,39,-89,-405,-39,-685,21,-629,-27,-698,833,-39,180,-24,-231,-1665,-415,-356,412,-592,98,725,-1390,-38,951,-269,1
-71,89,21,56,18102,76,327,-44,32,-109,195,-84,-96,12,-41,12,-582,-25,-136,15,24,153,287,970,-20,-177,-58,28315,19778,24829,15249,24988,26311,216,-10,224,312,2766,627,6799,-144,366,307,-255,314,11,-131,348,353,-79,53,-75,-75,246,32,142,384,-18,-58,2198,-20,-7,-385,555,60,183,96,-261,-523,11,19,-19,32086,5,53,-6,-69,-22,-4,-916,85,-132,56,42,345,-42,266,6,-837,-1344,-207,-293,360,-393,97,1090,-1016,-98,420,-137,1
-127,104,6,58,28970,68,27,-6,45,-20,114,-21,-42,-69,-105,-43,-202,-32,-186,55,22,-45,82,532,157,-203,425,1529,1724,25630,1307,5536,40214,81,-54,136,33,2625,527,9320,-190,203,522,41,351,0,-174,613,481,-135,100,-10,-77,164,55,151,240,-172,-65,1964,-73,-123,116,257,-23,-165,164,-92,-294,-243,324,-42,31515,-32,30,37,-15,54,60,-234,108,-31,-14,152,255,-34,-101,100,-61,-558,-178,-63,40,-730,59,1165,-153,87,545,-183,1
-496,101,-77,216,7356,251,395,-55,-12,-422,85,-159,-116,101,40,-51,-689,69,-347,-33,3,267,414,2420,-237,-444,-296,27731,17850,19473,19016,21339,17958,302,-81,147,227,3149,759,6334,-310,530,620,-295,4,12,-125,330,786,-232,118,-9,-178,805,-149,-593,402,264,-79,2861,-16,-166,-992,645,124,-2233,659,-651,-457,11,378,4,26313,-89,35,56,-49,-353,-71,-834,-18,-449,-18,-310,754,-137,208,47,-334,-2309,-593,-601,1124,-919,243,1629,-1808,-427,1605,-242,1
-252,-232,-32,-14,28593,0,194,-162,-21,-39,-29,-121,-69,-14,-97,10,-325,-50,-159,-31,-60,106,241,561,1944,1396,1847,33281,24330,30620,12289,16794,27196,235,124,386,10185,14063,744,6016,241,310,318,-238,124,30,-172,115,513,-74,-9,-33,-60,308,37,-149,-8,-88,-63,1089,53,122,-404,388,-15,19,17,-274,-528,-81,106,66,35443,23,30,62,156,-152,-42,-18,-1,-93,42,44,362,-47,313,-28,68,-314,-154,-335,71,-93,11,559,-454,83,206,-25,1
218,110,-23,228,10620,134,462,-25,42,-347,147,-185,-83,127,32,80,-522,38,-232,0,-56,232,489,1390,342,-500,-1027,32874,19625,23696,23601,26633,24405,439,94,194,504,3136,2136,4035,-441,113,421,-114,666,119,-143,291,990,-231,132,-15,96,537,-34,-194,49,-356,-81,3033,-3,-140,-809,951,-72,-66,691,-450,-598,-50,228,-13,31682,21,10,-4,-106,296,15,-1904,25,-464,86,-1060,822,-35,103,13,-215,-1823,-523,-562,743,-684,244,24,-1020,-141,529,-361,1
-271,-27,76,101,15859,133,555,-29,22,-410,215,-124,-69,180,7,12,-496,134,-274,-91,9,112,677,1544,-121,-924,-611,30271,20017,22921,22257,22201,24730,280,96,764,-187,2613,1220,2578,-248,160,352,5,192,51,-930,-65,918,-363,-180,-84,-216,376,-124,-464,176,649,-113,4296,-135,27,-63,447,-186,-655,394,-373,-1159,-29,403,-52,29226,-28,-91,-99,-51,-629,-51,-571,17,-308,6,-584,804,-93,167,1363,-822,-1502,-390,-735,256,-922,47,505,-1303,-38,833,-403,1
-178,218,69,102,22738,86,292,-92,33,-83,19,-167,-155,-129,4,-67,-740,138,-379,-23,12,129,120,2726,-39,-260,-477,636,245,19293,1485,3473,23610,111,20,264,95,1637,1550,11147,-251,57,1404,-272,30,30,-155,440,308,-177,73,-24,-112,97,-103,-214,-61,-478,-62,1968,-35,-377,68,328,92,-303,173,-362,-19,-91,237,5,14282,-112,-33,-24,47,-215,-42,-320,46,-6,1,-1240,111,-24,65,130,84,80,-139,-449,-899,-489,118,625,-543,54,849,-169,1
-189,-108,-1,39,9226,56,562,-99,-36,-456,198,-158,-166,149,45,54,-481,84,-481,-5,124,-252,288,1598,208,-331,-1002,29340,17455,21004,23163,24291,24023,1118,204,1533,3033,9318,269,3140,156,665,409,-55,73,-68,-64,551,955,-261,14,-46,-50,573,148,-531,167,-572,-20,3993,-32,93,-1022,622,39,-764,507,-674,-830,-78,497,72,25124,-67,58,13,-51,-332,49,-628,78,-408,-50,0,811,2,333,84,-248,-1501,-409,-515,726,-848,229,1943,-1525,166,915,-251,1
-353,-126,-14,127,6579,104,559,-103,-15,-111,253,-109,-182,-183,-226,-130,-667,-53,-452,-86,5,60,366,895,-190,-587,-440,33460,21886,27359,23200,27866,27599,600,-61,847,433,1887,1424,2552,-418,118,357,-313,391,-6,44,234,522,-252,-8,-103,272,451,117,-39,183,567,-75,4000,18,36,194,955,-19,-266,715,-78,80,-35,799,89,33094,31,29,76,-50,-281,23,-655,46,-245,59,-403,820,13,-111,-6,-254,-1769,-302,-571,547,-873,229,1054,-1518,-29,834,-265,1
-273,-105,59,157,11206,100,467,-267,19,-394,-36,-202,-142,-84,-238,-136,-663,123,-342,-210,273,1323,1550,4050,-46,-586,-812,32236,19988,22654,20281,19360,22870,657,159,1379,348,580,500,2660,-253,367,421,-394,433,-76,-289,95,900,-278,-33,-93,-135,469,68,-494,-35,-495,-147,4790,-41,107,-108,1134,-8,-1004,901,-608,-1102,-63,276,68,26604,-33,89,153,7,-436,83,-987,7,-269,56,924,679,-24,269,86,-381,-2016,-446,-721,132,-351,388,1748,-2277,43,481,-330,1
-336,-49,4,619,18422,226,161,-376,76,-436,131,-212,-171,-71,-74,-99,-405,-81,-587,94,-31,487,580,807,184,-709,-329,39856,23799,28165,25016,31530,30760,2914,2090,7094,211,913,2445,2583,342,650,473,-374,320,-184,-159,354,1032,-217,-119,19,215,-173,184,-576,-75,2596,-51,5587,-28,358,-614,656,97,-201,908,-287,-313,-57,111,191,35697,-238,197,18,-145,-779,-62,-2310,30,-449,7,-808,752,-77,88,53,-786,-1905,-410,-512,-49,-881,272,1967,-1295,-251,744,-207,2
-288,-106,135,301,25897,26,261,82,14,-286,255,-95,-146,12,26,-4,-462,101,-501,60,144,263,412,775,235,-434,-694,46157,34748,41346,34731,43419,41029,1555,538,2796,295,1166,1302,3593,-18,155,347,40,326,26,78,212,314,-217,114,67,338,17,-26,-46,54,-152,-180,2668,-100,149,-994,372,84,-1253,503,-162,-1066,18,43,60,33602,-80,-5,31,-22,-312,-83,-823,-76,-142,-1,-504,445,-71,-11,-9,-282,-1461,-366,-385,119,-623,-3,1065,-1033,-59,619,-112,2
-195,71,82,367,13051,66,495,-61,7,-592,30,-133,-56,-14,-51,-53,-682,27,-496,-75,259,1107,1427,3688,-73,-425,-595,35590,21846,26861,24878,27059,26263,840,-13,1064,79,1321,1353,3592,69,619,1003,-324,258,-53,-147,279,873,-160,-114,19,-129,753,-30,-80,164,-104,-57,4864,-12,129,-112,935,31,-972,720,-734,-803,-71,236,44,32609,-187,-16,65,-75,-591,-28,-1770,87,-165,-163,-102,821,-80,574,5,-71,-689,-434,-440,219,-911,250,1749,-1559,250,1738,-239,2
16,160,-5,445,30348,137,484,-72,-2,-363,210,-132,-79,2,119,-34,-561,-15,-273,-58,-49,-161,305,1167,-183,-918,-556,42294,26875,34654,28245,34979,33320,470,71,1275,-58,513,1469,1685,-172,140,177,-290,237,-19,-302,304,1042,-213,-190,-81,213,337,-258,-522,-108,587,-99,4138,-96,351,-516,850,-46,-1028,438,-382,-1365,-170,-9,-47,41256,-409,-192,-239,-22,-1553,-124,-1273,77,-322,13,-838,432,-128,-108,-7,-740,-1619,-918,-339,-427,-949,15,497,-1632,-129,761,-378,2
-166,-1,120,307,25025,24,330,-5,59,-256,287,-50,69,-51,-120,-74,-353,-23,-327,-45,113,438,821,1238,-13,-598,-571,28935,24809,32420,31055,40440,37452,627,195,1042,7,1915,1360,2687,-235,128,-36,-181,144,13,-118,137,756,-155,-117,-149,-319,418,-391,-671,-166,-52,-76,3581,-71,92,-383,389,85,-378,445,-504,-617,15,325,3,39936,-122,-10,-166,7,-818,-92,-510,93,-369,25,-862,654,-69,257,43,-536,-89,-512,-328,-404,-424,44,-37,-1074,-30,594,-276,2
36,7,2,217,20771,-5,219,-77,-8,-163,137,-162,-156,-90,-14,-141,-302,-4,-234,-18,917,3724,4465,7798,-377,-469,-373,37585,23776,29114,25807,29739,31037,1730,1179,5733,-359,1843,1212,1659,-25,91,450,-44,660,-6,-66,422,735,-209,-55,-28,-2,344,128,-886,-166,-514,-41,3351,-130,46,-1107,424,58,-570,232,-503,-989,-20,142,6,35659,-240,-132,-77,-90,-431,-96,-1468,135,-284,-90,-1882,655,-99,561,-13,-670,-577,-418,-256,67,-1006,80,773,-1237,-244,573,-305,2
-308,401,101,64,23002,-23,250,-46,1,-322,232,-232,-116,18,-31,-41,-284,-26,-379,-57,81,479,771,1678,-71,-581,-470,35765,23248,27147,22532,24387,25947,815,235,1327,-76,2178,1704,1841,-122,383,421,-210,591,118,-67,62,826,-126,-147,-61,103,533,104,-53,-160,280,-67,3547,-87,283,-947,365,175,-780,245,-398,-1228,-37,269,58,32721,-316,-4,121,14,50,-56,-1325,78,-559,-113,-803,621,-61,337,-43,-112,-2106,-373,-225,-311,-738,291,777,-1051,134,535,-455,2
